Dates,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
2019-01-01,92.39215566927804,56.55890237611629,46.653337605478654,70.39291588496192,77.58689287272169,66.09831810587727,39.987798249902404,83.46918701633088,38.711386032592856,76.8392701425532,67.67894971579673,176.44389422081503,58.88854458481204,65.32580140475635,54.37886034619089,54.624849838707014,67.54023779371234,46.493083174226044,51.80345493950519,51.06495819863018,40.775859871590384,51.14143364702387,55.18744784976535,56.43519507075065,49.17899811085982,55.2811367356179,77.96939964841783,47.98315826482139,78.85121183143,61.702579711024875,53.31582819586321,37.684191003051936,62.81544497861426,74.15022705810057,71.18091233198803,46.388528046686,54.96889667847928,70.72758693481624,50.425519141686856,50.15796542067866,41.21281805911347,53.760691553242154,68.68407376882786,54.99182617887674,67.96676383817126,72.01804199565674,55.928016749286186,38.2816658931436,20.1912153410476,72.2370438337152,49.94426918717119,43.611973278623985,58.03128254313072
2019-01-07,105.52079975173264,52.44886006012749,47.255569372424674,60.190731703815835,72.56909528906745,61.72652741474665,42.480243477397664,73.45054999371312,32.741114513826,70.34312940700826,63.824621019964944,170.98394014992047,47.6169548468148,65.21743895271912,52.0299894859215,36.742104077557954,64.42050924579713,38.23231950533318,41.82222186001282,54.96255385484746,39.93323866863302,61.12726244665907,51.61011637749856,60.483717336373985,45.59775670595083,43.22117522327284,75.82407678809305,45.669613574983345,59.98861624995154,48.418962794359715,56.84318084545562,46.608992476821,46.90042637872298,72.37428434493705,72.67970961662957,41.40692364018047,48.37079758369949,64.47696533184316,51.605009099962906,57.66448672117899,45.718133411932264,61.735541378405046,63.79693180484742,48.81719421184077,77.2984449989691,50.59623059335958,51.2329000178083,162.0660297193874,45.41778730400339,60.59507494536545,51.78088077048487,34.37359106166228,67.82936197806926
2019-01-14,95.78203489653313,38.448290047773284,42.16666766154981,55.96288519712962,73.15317172179205,67.671813929977,46.270573437977205,65.63388392026548,34.46624805046328,71.80076968843376,61.38818656341867,123.70408801150172,38.00291266015968,58.41776994434531,48.62574826414642,36.575156620896955,60.51496106548028,39.63655053806785,39.89109430233929,57.20531818528225,38.91532628710235,56.12965321623671,49.95328048901554,65.51666557453812,45.8821658007062,46.37121612239607,55.0254851971896,44.83148352149761,53.09605947914534,43.60023642645212,43.61428662655164,47.45255671630955,47.84450240633381,71.0018011002743,73.11197112668071,35.97823449884677,42.485958053934446,60.51744644212106,49.296275661178065,49.01595773309638,52.321197667028,41.984272179563945,60.799621774564834,46.13314148613287,76.07540098380079,58.38948470279294,50.83517483491277,69.0307367882673,38.827418778548235,65.77842593452186,55.684055098931296,38.51509376705265,67.69881409270226
2019-01-21,102.3482733122462,41.661063538555275,47.17564384144878,67.06077064663894,72.80441140642597,65.79584400773436,43.16127327565099,77.14508851408324,36.33236955355561,78.60008509428515,68.53242802357678,130.36518924136604,39.65161179385984,69.7133668812142,49.73133538941209,36.81563721740235,56.677307656417916,39.53704577868996,39.51223462820086,56.89050847305699,42.41821563115411,62.78435245585985,50.567194683834025,63.64560926302757,48.116852540400956,42.0366615677067,65.05132884498961,45.598698683308776,54.104196678780426,47.21237220986687,43.101560283836314,50.17830451573832,49.59507396321464,73.10092101135184,81.55862707099668,38.22248933351584,41.75124547721498,71.9638585746026,50.786778475466946,53.66386686741142,39.400713522180624,43.51511120338998,69.37270571541333,51.425719987069414,74.85155072738537,59.45339388891698,51.83117157131682,171.38890397199168,47.820843763475416,69.8127314047823,53.73594599761012,37.78795072145336,67.5179367244158
2019-01-28,105.96141660648242,34.40351011641086,45.27853585188026,84.33938927474765,74.41339163602986,59.99721394076716,38.61206835999766,66.19251571222865,43.865382025044,80.89956441142171,74.4663881981672,111.07748492916038,37.736461044337126,58.24429602351519,47.71051633800813,39.341264106842,53.94226565790415,38.778541058958,36.29789460072328,52.93401596638113,36.31184429309604,65.7306308032825,46.678824441057714,59.28971522987635,43.7021318222148,39.60846127448731,53.37058040196331,42.76208309502093,47.28922508417764,43.9249295630153,51.411380324458925,45.30700461571448,55.265099568067924,72.71974768020712,92.2925971290755,34.39886971093501,44.06538987472589,65.88552583697768,49.34449907713982,35.28964986627915,44.46547649172649,41.96452914185473,56.15102899544824,48.998248145108036,73.22389973538641,52.93662314658431,47.600940131687786,83.23867456988089,44.63765451433181,62.94934163877986,49.44871287862288,31.409505049940176,53.79094891894831
2019-02-04,93.87493162533258,34.63694813612496,36.135334869846716,49.015854557166705,61.99073844190387,57.26881310181078,35.418674197236115,62.65834039845229,46.038773300060946,65.0952868804621,56.79192732288917,101.32725176371073,33.47824592844655,46.54288742945556,45.11248302386599,31.90279208475982,49.387989024619024,37.11348324385124,36.486613320865224,49.633240095107126,34.01056954616206,53.50083216755206,44.79984467538984,52.46215708503483,39.59518505376979,39.93187853663746,51.78082809536855,39.584881031079064,46.227099705522484,44.280838979863134,52.4060731967748,39.92967419945499,44.70475592362985,63.975844912471445,62.773367280144655,33.337449069555305,37.4094841353102,56.52666257354628,48.24740643334508,33.820666470999,38.14906625925078,38.43261902184301,45.64656578999364,44.029470534384835,66.55794315380703,51.782440335664994,43.95429452118613,50.003239743960215,44.78701114606412,55.497860025303034,43.59298560106836,30.706823707057836,47.57854917657686
2019-02-11,123.53679924101411,41.10322846284011,41.45835447923742,52.393363357828626,72.06941207176298,61.9172308896913,45.59787939441082,76.32092400892073,38.52292881784867,69.65246323690903,63.07898518272813,124.46304461034532,43.21515559747167,60.23470721063153,53.225235721564914,40.301276985494674,55.9787004662191,42.78223119077108,37.67574094970686,59.9987219750031,39.400623276821186,57.97003755104662,51.31236132419314,57.508631094545414,44.771612167197475,43.871831322111994,65.5082152379195,46.54414687090249,68.7158874096455,48.15128236557614,60.95454580232219,45.19687736892445,49.97564069210779,72.67947741815765,69.4189805005311,39.087074468947364,43.04441600632915,62.583977524895026,50.56790675792166,40.22075654381059,37.06155676603526,43.05320984069295,67.55660273845098,49.00431362487269,76.15517737991442,68.7188270624052,52.728149498849454,122.18653059729107,39.04496760880702,65.4207743204193,52.67085486750226,36.92040877652784,47.36734590857863
2019-02-18,104.24316482113407,40.76661730149492,45.52965094509759,49.175027513872756,72.29409824114907,62.996995009732494,41.55270768023574,85.28452212698842,44.334368134730695,69.8219462036265,61.61916164278887,125.11678433235019,41.448659927343165,61.222857611375275,53.362682350412776,41.66569440017618,57.486427044853365,38.95863027718492,37.58777269893228,64.4137442652302,38.50232063490656,64.10095475974902,56.076677677451066,62.036443484171095,48.54746385987749,42.98915162660842,55.90073653519456,47.33819647090559,71.54855948959535,46.81662673825654,52.935856984147115,46.62984011575526,48.774128552397165,69.74431578232326,78.74033423302104,39.98921668019498,45.36733862443663,71.08163980393907,49.33120662819088,31.525177620092627,56.2286602075494,42.452493735733896,69.2770010499813,49.5669831168444,78.8633214911227,68.96257023440698,50.60471737163747,190.12183297344166,57.65773946404757,65.63190253076044,52.742441111441245,42.5616786116317,69.4823192920693
2019-02-25,119.5706984170335,43.43612864631994,42.462677163569026,54.09522029097142,70.79892951287187,65.33769160513997,41.98112022928879,74.13859122375192,40.46626072503502,71.81208847157271,62.51607059763759,132.00885149056077,49.04404577299167,66.40515859795417,51.97592621272557,42.83456092337222,57.10827721913725,40.63531631548746,42.719318105652775,54.23280338678238,42.227166013472576,48.43452485920035,65.40455562363182,62.37637773382061,47.928960048217206,44.772011218112034,70.81137439282017,52.4559881594044,67.14771291409691,44.041922646204355,60.76115249702135,48.36636559307446,50.95762346302044,68.64213633556834,71.56927133048902,43.07001446212155,43.524848597189525,67.43782850389144,56.75110773438811,33.03843010722769,42.826782206162854,42.952229034572774,70.37167546187575,54.37470437261856,76.71266412822712,57.50377170167355,54.319549188278174,148.8104707359605,62.463259156693084,72.27939018751727,54.41358774602147,41.99918987759536,69.39011621519016
2019-03-04,116.92568205029735,49.20150290182154,40.44910962125071,56.70631697528239,71.0149924379939,62.07365326795165,46.27891103395515,80.4335106131791,37.28519953470891,67.36491717505659,61.330081853026144,111.47066104276574,43.107043608503986,70.97939223835355,50.67164531872461,48.3382653389443,79.65337202141802,44.168488626581095,43.547208640129256,58.78617813182938,42.70414419996303,55.23023808165882,61.43902636361518,64.9048030026368,45.03705571658444,51.93620130921624,59.66164559879615,58.53455758897095,76.01814595414622,60.09672501362395,52.38954954557361,44.248065636816065,51.67509388202092,67.65026113131252,65.8734851337891,44.313315835418706,41.3818351655578,63.995587371416825,53.53247524460034,48.499540603880135,52.69334901163391,49.77348107567931,63.32428682966087,56.62965202995462,78.5081721743422,60.2615426888233,58.488596882443076,195.63279490233035,52.657734002060955,70.28793845643216,48.54517168446696,44.29904016552891,55.66651226190324
