Dates,Albuquerque,Anaheim,Anchorage,Arlington,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Baton_Rouge,Boise,Boston,Buffalo,Chandler,Charlotte,Chesapeake,Chicago,Chula_Vista,Cincinnati,Cleveland,Colorado_Springs,Columbus,Corpus_Christi,Dallas,Denver,Detroit,Durham,El_Paso,Fort_Wayne,Fort_Worth,Fremont,Fresno,Garland,Gilbert,Glendale,Greensboro,Henderson,Hialeah,Honolulu,Houston,Indianapolis,Irvine,Irving,Jacksonville,Jersey_City,Kansas_City,Laredo,Las_Vegas,Lexington,Lincoln,Long_Beach,Los_Angeles,Louisville,Lubbock,Madison,Memphis,Mesa,Miami,Milwaukee,Minneapolis,Nashville,New York City,New_Orleans,Newark,Norfolk,North_Las_Vegas,Oakland,Oklahoma_City,Omaha,Orlando,Philadelphia,Phoenix,Pittsburgh,Plano,Portland,Raleigh,Reno,Richmond,Riverside,Sacramento,San_Antonio,San_Diego,San_Francisco,San_Jose,Santa_Ana,Scottsdale,Seattle,Spokane,St_Louis,St_Paul,St_Petersburg,Stockton,Tampa,Toledo,Tucson,Tulsa,Virginia_Beach,Washington,Wichita,Winston-Salem
2019-01-01,58.52407785260512,55.49702518113238,97.0591207050205,55.22102815327373,94.98506029999213,38.10947963471091,72.9275715488915,41.09391898217618,43.41809863103127,70.98719752469142,45.25349094152781,72.52545398781204,27.217179467692656,46.92561883627246,58.491283854900225,40.15534882868222,62.10040468479514,51.3306321502214,67.89330396547074,55.997023109363354,68.8883034775888,56.89484694167732,54.317731516911515,58.50321034324938,68.8242300292424,51.56571023167477,52.6153151177139,50.856677110085194,42.4807899095065,58.65906201563985,61.17937047648372,33.72042719000228,30.30159095746533,60.99821928672148,32.701748664502105,30.777064051344073,68.11121901716271,60.829727272514546,165.82919739962458,50.04935157579754,64.90604200544463,69.4593013512334,54.99399565081579,48.57801164992532,55.40546736231514,59.57061748354756,33.1566849651825,77.22768760977654,42.84713782031743,65.54846666885672,51.86962236571569,101.33655510608496,44.2717569618185,60.15660672339181,33.68215666345132,47.502297959433164,45.26841076258443,106.16062631656467,42.50061861533802,59.72445568696236,67.91549530203748,83.5864671171683,51.132022110109396,56.464756102645715,59.87515915339545,34.41084052590394,70.2347874059035,52.49101455009578,57.03751000962015,86.56056617727668,48.0402249991145,61.146817222324295,53.15026094092662,69.05546979472666,70.31447074237826,41.385453497165436,56.78041933865487,52.04463352732922,38.32929674183276,56.86220503433134,44.8249977817509,88.7376356482395,122.06495306158742,61.960944793048505,26.308427255498906,89.27308628699856,95.94604236845818,53.858366914738205,56.27230511000606,52.65450019476196,39.75793491636363,44.45456424655037,71.79841915361422,32.61227866242753,54.87788900589079,58.270278330216804,46.46898759809147,84.72289990774108,35.77406196961847,32.48158042749107
2019-01-07,37.61645046768069,67.5229850266968,107.7224502675357,46.165349318569305,96.9468739143184,60.22318958937034,61.31705988611536,35.57300878736315,42.24931409098023,44.53761143776848,78.27472486654152,71.97833986144242,41.0188321025765,45.08698660710535,45.84613402970509,29.447873290983477,61.04997440303442,40.86448805268323,57.236236565413456,56.24291803271301,49.68131703650161,33.552196727482645,52.29018787317192,58.033901449117124,67.38241582829053,58.09152770922412,42.15120072670936,40.14011351277392,30.584980673474824,47.67818898572809,67.00220859015796,33.37231619500506,31.22380106323902,65.31191000025053,96.24533061585198,41.50079910922758,65.45034266459389,26.588317336954525,159.46989404223837,49.286806577995726,36.29938169661474,82.92104533103611,56.90258716027815,33.756677761024044,60.411812733454305,57.33518749262393,32.209950830197364,71.8280480630801,30.263212101288353,43.12400687452128,47.983991072800144,94.93155396275972,39.89523006679066,68.59761428167288,64.57075249395865,46.93756462615331,37.307816050803176,99.6343130545546,58.127390878780005,68.52870616703156,63.30815047067921,86.765423932248,50.27013002675891,59.47878155390573,41.68596096604392,36.41959554548856,86.97162027932778,39.47589774421679,47.51003907663621,94.00848398569231,52.84513447626907,57.988891074870914,44.72545334996484,53.907539495910456,71.15113406532264,41.623682912083396,56.17903502797057,50.45643069967616,30.96843765821312,60.10394430174388,40.425065149498316,70.48636861447882,97.33406090521639,58.97330856474903,36.12150710884043,72.66049193645739,70.3050863728365,41.89188854682795,52.19983562621742,60.201811104416045,64.58876882297193,30.818245662729964,66.0677612079129,38.62542838803659,63.0723841947885,41.86524534909804,35.256803821757586,74.3144426025394,30.44970551071443,40.59900547524418
2019-01-14,35.17124477144649,74.9885396427825,107.95507720989676,46.011873959855144,86.68084499206485,41.19982745630689,70.90566078203973,27.70078675841844,37.99627533725712,32.33878056823389,47.41910228367254,73.85301888781962,52.026224590280854,49.32672970327308,49.869333952724496,43.22986740147071,58.97636507395781,56.776581398090144,44.88224333594436,59.56439170459389,61.057692231291064,31.588047758665965,46.94827267441474,58.04310746497845,67.53738912897424,54.11492773364972,31.93644275979168,52.91036499349363,27.971174460821132,45.28417677368437,60.92362323522239,30.63832555530605,38.39346365177522,47.46950477668582,8.063141877628224,22.629157206003953,52.50653403021884,31.354649945148424,128.66828806353,50.8582111347075,40.456356503987465,63.7912959203213,57.95693828298732,33.37179477921977,59.35352212555646,58.46649968925794,37.98255132385627,72.76270538450478,37.93407241687948,40.26616829732387,50.859018571290086,98.35118068785822,37.4182711588292,42.1539120037189,26.01090884386534,45.38788411389599,31.800734849925586,111.07245315592509,40.71450018363944,78.05683070217239,62.10960564566166,87.35971486814292,49.346960811146154,56.24640953864921,37.605339446706076,38.46796625924434,77.39320343043782,36.00182063785624,37.112994534901176,92.2216516026024,46.84489813207964,55.73337644380639,55.3489374316286,60.83149344240782,72.38896456960106,38.17303431592939,47.75987824449239,38.52887847020278,32.36936911742577,45.16650498279664,36.59218848393567,65.659536758672,109.87071722742816,55.61680344426504,46.47016940761821,73.25911584668081,79.45406829880457,54.83959464178411,49.66897783097882,51.57955654656503,47.20226311495534,35.62424048184656,74.18749690992563,35.74744345336709,47.747515953716274,40.09287199487555,52.5806227841517,69.71521664718684,31.12186166122955,25.326386899822687
2019-01-21,40.64855187394967,65.77682085999464,118.74438671972601,47.92851181778739,87.93714739480559,27.414907187621566,71.6013698537766,35.36515915171195,39.47396215861975,34.50606540076736,64.62353801190295,72.74741827765529,36.682883766797325,59.260173697979326,53.456221672383,53.94945304473179,60.6372720796614,51.27584184029239,46.53418345678103,56.310821890182666,59.078968419119754,33.548026369247665,42.69935389263792,60.05786974736499,76.56539034942948,61.59505209726527,44.502690520192424,50.37985564525064,33.12319012204305,49.20221837784628,71.56672746330024,26.440432850657317,30.11265210914795,53.459577317075805,71.66424963385741,24.605497666481824,64.52976924016887,26.499093904607513,120.10651084152197,50.0626966598407,43.66551510869662,61.24237127176117,38.47336734584235,25.172190009241007,39.89434431338081,65.742818417073,25.78084245548318,78.22558182062184,19.212636963436353,37.21152746476007,60.1857105570384,91.89555198287873,39.39150228893532,29.667007120711137,19.270640918552814,42.13350612798453,29.34653374261027,124.18996362216016,50.076269142382685,74.89419232977384,74.40003460053197,94.8795229487105,47.57923664339694,46.31979759715885,25.717577638473337,38.11446754713384,75.06038552371817,38.88806107688604,48.53046725865193,90.04318439868177,50.8103558059801,56.72934196041571,58.849937432125046,58.649952226303114,82.2085536341733,42.98803957521033,42.76512951838515,43.12862264742393,35.95699155789173,54.93638646528257,39.31805913464395,71.03023621047832,110.02089110418058,58.78553857041407,34.69402856957178,90.35308277816779,88.16257431230744,53.63603486791822,54.57189019057981,55.671720490090806,65.99553461145476,26.10128297552936,68.45033918959003,31.74256212198506,35.58263703964274,43.250622979573514,47.74709469314519,77.66108492763827,37.2198592985676,39.9471507437562
2019-01-28,41.66070254088755,69.11487853046737,106.40453065245266,41.77316569806654,69.49869743853847,17.37127039255115,57.24028984774416,23.258068343221804,41.091471786492164,28.849275872706077,42.8319790899153,67.53295058953736,27.59272241687553,41.12868146198103,47.148357959716755,28.486465532949712,57.19890433838737,35.122926596268414,41.83740095883359,49.126573130688975,52.80296141148136,34.41949666053586,48.432131544415846,53.64291221992432,71.24576708162247,47.51512677785321,34.013987788454386,41.943317747446905,39.12818134582089,46.258003016749356,68.83846240819888,37.486051742876526,32.36382804241594,39.27862725359603,32.201585354682855,25.955331773680026,56.06400756170673,23.224177924717058,98.01068056411083,48.02053954634318,40.988525607631175,79.24759272679533,40.1911402241731,22.465961281115835,49.42179553120271,50.29475393832565,28.137081475619034,81.5194681096754,28.243576616296266,35.25312184603363,43.66837056899103,94.365394605613,46.352732493034935,33.24306912375376,52.731156649536885,41.25657795684695,28.894931992474593,105.88892341523707,54.89974994701552,67.0907943842734,70.44167805602731,91.05184068393969,53.350727999226635,43.65100830016321,22.24665303710131,26.72796682370542,69.80100096032963,34.99104260361622,38.7272818969284,102.35723581764952,51.501570971763734,45.47648890822925,48.88050969024914,38.01518965491003,73.53172050198712,43.94748097440689,37.87456573257839,41.28693755555816,31.914143590217513,46.509931366621856,35.821402079005416,64.16192641019344,105.23758551919725,47.14741725290232,45.310391880040896,65.52367640957772,85.38515405793953,62.21464862941934,61.56631392758792,41.38906813929327,57.63199448258703,21.467582948624532,49.69008298094199,30.647861562686977,31.807685126648064,46.63358954923521,43.52596888692189,71.26538634570993,33.928230266401826,30.58789346327803
2019-02-04,43.730654059957125,58.90036860296801,84.32776351363152,34.03171123720465,80.52362368421842,33.44358512347428,54.70989797472372,33.47384664750095,35.958396400876225,35.47977563137905,44.061616476672405,58.1240037843184,33.80138134589695,38.917540848129775,40.983469262118575,26.336287817510105,52.52458353057332,34.03334631844335,38.45749889561103,41.65025768194137,46.71570197272097,29.363636618180227,37.36154439893873,54.767111558318746,73.06359012084509,43.085973910940474,45.369120923401034,41.34124960008785,28.577347128758177,40.29871702885771,57.032685839021156,30.732679843687222,23.423272811725482,41.18812484037702,17.499206966281303,14.76295079530448,41.44746433914716,27.30954190162734,90.1095085989765,44.23167381118503,34.137924759518974,49.1590975170407,35.728913998403605,23.524622446911103,36.93376785592816,52.207021217276136,20.210366291104368,67.95015045783599,31.445079707897154,34.72918339630452,39.15513126521725,85.88969756761634,35.01766944852705,41.39884519733099,31.512965737452717,47.29863854067991,34.074316418756794,112.91729361914003,42.52638826797434,53.248506892796506,52.91812131805383,76.06722980027801,52.77959964059204,36.35277840346749,32.08445235120971,46.189442671040084,89.01014668889395,25.21446225656202,40.00245062300442,84.61597431512786,48.121361826772876,46.863479843811916,40.33652556160325,42.26456645424373,62.077715051977165,34.90093500776612,46.42817292885165,42.03236534830052,20.022291842248062,50.093041173502094,36.2555888271144,60.018646271744494,89.7998189567375,42.44194544421566,34.86325811548203,72.17381011817221,73.58171644857529,39.04130873486125,47.00894412027111,48.79354567285822,63.35077447523094,22.837645462029617,59.244977768545645,22.50276433349356,31.683393074621506,37.27674133037159,48.16657417230375,63.0748505211177,33.199496645860116,31.182103992882027
2019-02-11,46.243894069862975,67.28398104549684,108.26869458557466,44.73154148240074,96.95747552948086,39.160705012727945,56.930444441290014,31.480966858299258,41.0768174213033,31.494833627813957,57.429311339654866,75.44140143122983,33.67179913113283,37.422559890893,55.1821229972193,42.834389518990236,63.08692560900501,39.523734104342694,43.02105498128161,46.94373490733431,64.13043650047821,36.69250012144112,48.19187210773645,62.8986247182003,65.9899436049945,44.24792941297562,53.232630487573054,34.74205539138468,51.633748991503985,49.14199501360822,73.66358003109458,30.36602869903143,22.30917775623754,48.092397588368904,73.01033098361536,21.858143462576415,45.53562040306228,35.93496518382052,111.70586861763887,48.545958695444845,38.028702838927245,78.43551750862693,45.96982822934997,27.278282528773786,44.152361921602555,71.08525414331626,26.87605705037969,80.19719444936517,23.912334368061487,36.631615097423904,45.537538716811255,96.27205397525164,35.10902940037038,40.4692176741554,39.767648314761594,44.62547663891162,28.203534234694068,109.8493417415581,49.94917344335487,58.423197414088065,63.26640683918028,84.56033011994289,47.95935624352887,58.14189172684251,33.96324201407313,36.56259414622333,87.94507868029245,37.7389901398178,47.19592874361974,84.74336152619065,49.28812292786409,49.897130733470185,51.55270998958577,44.55643300902967,69.14751319576058,45.061149487940874,58.03375690410671,37.08775257412563,44.965316906155444,35.94299120026645,37.15064704401606,68.07427313716819,113.51234030704019,47.70576898566477,50.36713238409169,76.44456727175266,89.28730828279495,34.441023865603526,47.89111425704249,59.51975209276081,55.801371889672,29.64527638352723,73.32010079525624,32.17936993982278,44.827833290752906,42.79186400328712,48.156433488390874,77.09511563360536,41.76804517262328,47.875893544478174
2019-02-18,41.15005197468268,75.51374933975514,90.54761075133939,57.72915570239791,79.11952135999437,71.24867037945049,63.82463928731496,37.097115837223875,36.943364887121795,29.498582373100778,66.63569995478855,75.8942548950108,39.10507899226633,51.95403591214682,58.5456781360329,50.569420500343114,61.078751815914316,38.66754543344785,44.98559891254675,41.55312168473628,70.30687926863669,36.35394666969993,45.33390605612763,66.32496031198967,62.276870901689406,59.18567760122367,44.534416247069046,45.28663899702689,38.85168347190414,49.83471521665282,77.59514537516688,35.99413709112657,37.10106113483768,67.95819140998599,45.70461569990718,21.729102569500117,61.20481980964868,26.90068076994759,105.40214159472627,50.015168508061635,40.595454245240376,78.24510047844822,65.30630946288865,46.34892621988018,47.66613020522332,57.43092537420916,21.00612079079759,74.65345372279936,27.633609088294335,42.90653344821305,33.20619240220659,96.84589632941564,38.256514752280694,43.395292106178545,35.92219280934457,47.538890730327175,30.960818501536732,102.62338343689069,53.240112427398635,68.38951431677359,55.61385266743312,95.47944932650519,42.39288708501328,50.49688016895384,28.848914246013994,43.28922947656185,85.5957939742722,38.46832137987082,49.31064342931883,85.87342592028833,50.43280966872138,50.85552147792058,49.3726625690601,49.94778395250836,82.22078886221529,46.58754362256657,51.86813803646903,47.557214430216774,32.82147673079435,44.50225325948548,42.51893317863261,75.45702038482591,107.04480516333801,61.38150438613246,31.379225365699245,60.35852555877818,94.91723394748838,29.072873109633054,46.67737216117617,42.62965096899965,54.153273739697546,32.11797695107841,56.59135693312632,27.681207858840885,46.1843114006324,41.67165612105942,40.22916361359018,84.33538728802127,25.798191130983092,39.73843011667011
2019-02-25,37.20722639552079,69.30440583087086,124.07466191504408,49.18627411514388,82.8144370568443,59.27742583245167,58.648757759250856,31.336092520587023,45.447455764786994,42.21937119437699,62.55246153405724,70.95383048479617,33.36913736515578,32.2732335803802,54.27130284967242,41.41151850211975,58.77000114266461,55.74423610679725,38.51874108778434,47.002775171787995,77.3053908370088,39.33964778796237,42.66139335043655,62.30092388786395,70.44543722773264,60.14317990173498,41.85067393853178,45.32003203088931,38.385992085298895,49.24021984192725,84.1994536118036,28.99945041545637,31.383134041803363,55.02924091270282,38.79778567190348,45.73363831938889,47.140159141021066,29.333079235785924,115.24000689209029,50.29134808141934,41.14049906880183,59.946400634991605,54.77759705079688,31.60542967148492,75.09222091335992,64.03836891213133,31.752909155469037,73.01296594506984,25.427397402003265,43.209658695382636,47.08974928455233,95.99839882487855,44.87884851997387,42.43557359960971,74.01319903725638,55.09349124262349,40.85920805755986,110.19597379873818,56.12506409336359,60.28802581564555,74.39745986707294,87.35546463872616,45.73925470032197,46.53319766371911,40.59064497978589,35.68936851363496,85.34483625489806,33.97175520918685,40.623054686332054,90.69764480632868,61.81737506731776,52.421148492087354,55.30908829326692,63.14535373740721,88.00237047884332,45.23237398692218,31.63729835379183,46.31376837241491,31.614343998039484,58.945485025414285,35.0446314246859,72.97900364141609,110.48052072382264,55.40207012978494,35.845248029587246,83.0733977338303,93.52874787043199,64.63373024278609,57.60818544882461,73.55956797851668,58.577537120844575,29.26384103603365,66.20289519143111,45.117154541346146,51.70754476362638,44.434958655826755,39.89134782880389,77.43749202339745,25.417342271506456,40.323042553154
2019-03-04,48.58879470775148,73.51564824388382,105.39147683934628,58.00796281094372,84.74697376708745,45.14395961344273,56.366362080066565,27.600664345467486,47.121093826455244,38.17680879023043,53.51556539040546,82.1842968840404,44.57162612491027,32.6742332327325,56.24204446937669,23.283958677130332,54.87449565458766,38.61003601767409,54.992499283751286,55.46927657957972,46.25159638340347,33.49060037037012,43.2779825515929,56.15847351520273,77.0292701402472,53.42410245940904,56.79377523178589,33.03668944514924,25.388655753402336,51.77956265407219,111.71589061365766,38.26112093698326,33.96143552635346,66.52432668357416,20.605560624764145,74.02569754811508,43.98786260448695,39.0852762446724,89.55930250491586,50.63367339881178,41.8356844261893,79.24365811557423,52.668950919089895,41.49239578151136,43.49576341558259,44.10120889999341,36.89105076366783,67.64224611183664,30.86359579384417,60.50867605292093,55.99143932258276,95.9330008282274,46.39734872213104,67.33888465428264,61.914998194394045,55.923157231292,46.78393014537045,92.59270764461394,43.879497380718504,69.63808236760703,77.42272566684767,78.66210902348514,56.71043507729087,60.09753695241234,51.342477148591804,48.24462813380135,62.74266456535438,41.62483690906098,54.2487541215509,83.7276112084073,56.71317668989626,47.90734371013293,64.13779028392666,52.61238734355893,77.98920918802285,52.89507138701916,41.49805902908695,72.6301837370985,24.327464088640504,53.49490310767844,46.53915125055555,70.49200511456655,96.07175083302062,55.40152573559387,25.56942151101026,77.93113398608526,95.08696225710037,49.1805121049626,65.27272730088521,44.65465371398641,55.138731106838904,29.437057660101956,64.35234964152043,34.62178069251995,77.8255859839576,25.231054161293756,63.168622046280426,78.6340536013131,31.37332495672337,58.5529085137783
